iteration 156
theta0 -2.1279274638648836e-18
theta1 -0.6776408053617173

iteration 157
theta0 -2.220446049250313e-18
theta1 -0.6794257915160051

iteration 158
theta0 -2.266705341943028e-18
theta1 -0.6811929278087501

iteration 159
theta0 -2.544261098099317e-18
theta1 -0.6829423927385676

iteration 160
theta0 -2.359223927328458e-18
theta1 -0.6846743630190869

iteration 161
theta0 -1.8041124150158794e-18
theta1 -0.686389013596801

iteration 162
theta0 -2.220446049250313e-18
theta1 -0.6880865176687381

iteration 163
theta0 -2.4054832200211722e-18
theta1 -0.6897670466999557

iteration 164
theta0 -2.914335439641036e-18
theta1 -0.6914307704408612

iteration 165
theta0 -1.896631000401309e-18
theta1 -0.6930778569443576

iteration 166
theta0 -2.359223927328458e-18
theta1 -0.6947084725828191

iteration 167
theta0 -2.7755575615628915e-18
theta1 -0.696322782064896

iteration 168
theta0 -3.0068540250264657e-18
theta1 -0.697920948452152

iteration 169
theta0 -2.1279274638648836e-18
theta1 -0.6995031331755355

iteration 170
theta0 -2.1279274638648836e-18
theta1 -0.7010694960516851

iteration 171
theta0 -2.4517425127138877e-18
theta1 -0.7026201952990733

iteration 172
theta0 -2.359223927328458e-18
theta1 -0.7041553875539875

iteration 173
theta0 -2.636779683484747e-18
theta1 -0.7056752278863527

iteration 174
theta0 -1.942890293094024e-18
theta1 -0.7071798698153943

iteration 175
theta0 -2.6830389761774616e-18
theta1 -0.7086694653251453

iteration 176
theta0 -2.1741867565575984e-18
theta1 -0.7101441648797988

iteration 177
theta0 -2.544261098099317e-18
theta1 -0.7116041174389058

iteration 178
theta0 -2.498001805406602e-18
theta1 -0.7130494704724218

iteration 179
theta0 -1.896631000401309e-18
theta1 -0.7144803699756026

iteration 180
theta0 -2.1741867565575984e-18
theta1 -0.7158969604837516

iteration 181
theta0 -2.359223927328458e-18
theta1 -0.7172993850868191
